source	target	interactiontype
ENSMUSG00000018899	ENSMUSG00000024743	TF-TG
ENSMUSG00000018899	ENSMUSG00000024807	TF-TG
ENSMUSG00000018899	ENSMUSG00000026864	TF-TG
ENSMUSG00000018899	ENSMUSG00000026879	TF-TG
ENSMUSG00000018899	ENSMUSG00000027006	TF-TG
ENSMUSG00000018899	ENSMUSG00000027514	TF-TG
ENSMUSG00000018899	ENSMUSG00000027938	TF-TG
ENSMUSG00000018899	ENSMUSG00000029185	TF-TG
ENSMUSG00000018899	ENSMUSG00000029370	TF-TG
ENSMUSG00000018899	ENSMUSG00000029470	TF-TG
ENSMUSG00000018899	ENSMUSG00000029490	TF-TG
ENSMUSG00000018899	ENSMUSG00000030275	TF-TG
ENSMUSG00000018899	ENSMUSG00000031668	TF-TG
ENSMUSG00000018899	ENSMUSG00000032120	TF-TG
ENSMUSG00000018899	ENSMUSG00000032773	TF-TG
ENSMUSG00000018899	ENSMUSG00000032932	TF-TG
ENSMUSG00000018899	ENSMUSG00000033684	TF-TG
ENSMUSG00000018899	ENSMUSG00000034353	TF-TG
ENSMUSG00000018899	ENSMUSG00000037579	TF-TG
ENSMUSG00000018899	ENSMUSG00000038039	TF-TG
ENSMUSG00000018899	ENSMUSG00000038599	TF-TG
ENSMUSG00000018899	ENSMUSG00000046223	TF-TG
ENSMUSG00000018899	ENSMUSG00000046410	TF-TG
ENSMUSG00000018899	ENSMUSG00000053617	TF-TG
ENSMUSG00000018899	ENSMUSG00000056602	TF-TG
ENSMUSG00000018899	ENSMUSG00000060519	TF-TG
ENSMUSG00000018899	ENSMUSG00000066324	TF-TG
ENSMUSG00000018899	ENSMUSG00000070284	TF-TG
ENSMUSG00000018899	ENSMUSG00000072115	TF-TG
ENSMUSG00000018899	ENSMUSG00000075702	TF-TG
ENSMUSG00000018899	ENSMUSG00000094651	TF-TG
ENSMUSG00000019900	ENSMUSG00000024743	TF-TG
ENSMUSG00000019900	ENSMUSG00000038039	TF-TG
ENSMUSG00000019900	ENSMUSG00000039050	TF-TG
ENSMUSG00000019900	ENSMUSG00000059713	TF-TG
ENSMUSG00000019900	ENSMUSG00000061414	TF-TG
ENSMUSG00000019982	ENSMUSG00000004952	TF-TG
ENSMUSG00000019982	ENSMUSG00000013846	TF-TG
ENSMUSG00000019982	ENSMUSG00000019188	TF-TG
ENSMUSG00000019982	ENSMUSG00000026864	TF-TG
ENSMUSG00000019982	ENSMUSG00000027006	TF-TG
ENSMUSG00000019982	ENSMUSG00000029470	TF-TG
ENSMUSG00000019982	ENSMUSG00000030275	TF-TG
ENSMUSG00000019982	ENSMUSG00000033684	TF-TG
ENSMUSG00000019982	ENSMUSG00000034353	TF-TG
ENSMUSG00000019982	ENSMUSG00000038879	TF-TG
ENSMUSG00000019982	ENSMUSG00000046223	TF-TG
ENSMUSG00000019982	ENSMUSG00000053617	TF-TG
ENSMUSG00000019982	ENSMUSG00000056602	TF-TG
ENSMUSG00000019982	ENSMUSG00000072115	TF-TG
ENSMUSG00000019982	ENSMUSG00000075702	TF-TG
ENSMUSG00000019982	ENSMUSG00000093805	TF-TG
ENSMUSG00000020423	ENSMUSG00000073043	TF-TG
ENSMUSG00000022346	ENSMUSG00000001025	TF-TG
ENSMUSG00000022346	ENSMUSG00000002565	TF-TG
ENSMUSG00000022346	ENSMUSG00000002885	TF-TG
ENSMUSG00000022346	ENSMUSG00000003032	TF-TG
ENSMUSG00000022346	ENSMUSG00000003355	TF-TG
ENSMUSG00000022346	ENSMUSG00000004952	TF-TG
ENSMUSG00000022346	ENSMUSG00000010830	TF-TG
ENSMUSG00000022346	ENSMUSG00000013523	TF-TG
ENSMUSG00000022346	ENSMUSG00000013846	TF-TG
ENSMUSG00000022346	ENSMUSG00000019066	TF-TG
ENSMUSG00000022346	ENSMUSG00000019122	TF-TG
ENSMUSG00000022346	ENSMUSG00000019188	TF-TG
ENSMUSG00000022346	ENSMUSG00000020151	TF-TG
ENSMUSG00000022346	ENSMUSG00000020571	TF-TG
ENSMUSG00000022346	ENSMUSG00000020577	TF-TG
ENSMUSG00000022346	ENSMUSG00000020581	TF-TG
ENSMUSG00000022346	ENSMUSG00000022136	TF-TG
ENSMUSG00000022346	ENSMUSG00000022696	TF-TG
ENSMUSG00000022346	ENSMUSG00000022769	TF-TG
ENSMUSG00000022346	ENSMUSG00000022844	TF-TG
ENSMUSG00000022346	ENSMUSG00000023092	TF-TG
ENSMUSG00000022346	ENSMUSG00000023247	TF-TG
ENSMUSG00000022346	ENSMUSG00000023272	TF-TG
ENSMUSG00000022346	ENSMUSG00000023393	TF-TG
ENSMUSG00000022346	ENSMUSG00000024029	TF-TG
ENSMUSG00000022346	ENSMUSG00000024215	TF-TG
ENSMUSG00000022346	ENSMUSG00000024511	TF-TG
ENSMUSG00000022346	ENSMUSG00000024743	TF-TG
ENSMUSG00000022346	ENSMUSG00000024807	TF-TG
ENSMUSG00000022346	ENSMUSG00000024858	TF-TG
ENSMUSG00000022346	ENSMUSG00000025515	TF-TG
ENSMUSG00000022346	ENSMUSG00000026303	TF-TG
ENSMUSG00000022346	ENSMUSG00000026380	TF-TG
ENSMUSG00000022346	ENSMUSG00000026828	TF-TG
ENSMUSG00000022346	ENSMUSG00000026864	TF-TG
ENSMUSG00000022346	ENSMUSG00000026879	TF-TG
ENSMUSG00000022346	ENSMUSG00000027006	TF-TG
ENSMUSG00000022346	ENSMUSG00000027230	TF-TG
ENSMUSG00000022346	ENSMUSG00000027513	TF-TG
ENSMUSG00000022346	ENSMUSG00000027514	TF-TG
ENSMUSG00000022346	ENSMUSG00000028255	TF-TG
ENSMUSG00000022346	ENSMUSG00000028415	TF-TG
ENSMUSG00000022346	ENSMUSG00000028555	TF-TG
ENSMUSG00000022346	ENSMUSG00000028699	TF-TG
ENSMUSG00000022346	ENSMUSG00000028843	TF-TG
ENSMUSG00000022346	ENSMUSG00000029102	TF-TG
ENSMUSG00000022346	ENSMUSG00000029185	TF-TG
ENSMUSG00000022346	ENSMUSG00000029370	TF-TG
ENSMUSG00000022346	ENSMUSG00000029470	TF-TG
ENSMUSG00000022346	ENSMUSG00000029490	TF-TG
ENSMUSG00000022346	ENSMUSG00000030275	TF-TG
ENSMUSG00000022346	ENSMUSG00000030340	TF-TG
ENSMUSG00000022346	ENSMUSG00000030616	TF-TG
ENSMUSG00000022346	ENSMUSG00000030866	TF-TG
ENSMUSG00000022346	ENSMUSG00000031668	TF-TG
ENSMUSG00000022346	ENSMUSG00000031981	TF-TG
ENSMUSG00000022346	ENSMUSG00000032120	TF-TG
ENSMUSG00000022346	ENSMUSG00000032226	TF-TG
ENSMUSG00000022346	ENSMUSG00000032773	TF-TG
ENSMUSG00000022346	ENSMUSG00000032932	TF-TG
ENSMUSG00000022346	ENSMUSG00000033147	TF-TG
ENSMUSG00000022346	ENSMUSG00000033200	TF-TG
ENSMUSG00000022346	ENSMUSG00000033590	TF-TG
ENSMUSG00000022346	ENSMUSG00000033684	TF-TG
ENSMUSG00000022346	ENSMUSG00000034112	TF-TG
ENSMUSG00000022346	ENSMUSG00000034353	TF-TG
ENSMUSG00000022346	ENSMUSG00000034472	TF-TG
ENSMUSG00000022346	ENSMUSG00000034586	TF-TG
ENSMUSG00000022346	ENSMUSG00000035506	TF-TG
ENSMUSG00000022346	ENSMUSG00000035896	TF-TG
ENSMUSG00000022346	ENSMUSG00000036492	TF-TG
ENSMUSG00000022346	ENSMUSG00000037579	TF-TG
ENSMUSG00000022346	ENSMUSG00000038039	TF-TG
ENSMUSG00000022346	ENSMUSG00000038305	TF-TG
ENSMUSG00000022346	ENSMUSG00000038599	TF-TG
ENSMUSG00000022346	ENSMUSG00000038879	TF-TG
ENSMUSG00000022346	ENSMUSG00000039050	TF-TG
ENSMUSG00000022346	ENSMUSG00000039168	TF-TG
ENSMUSG00000022346	ENSMUSG00000039234	TF-TG
ENSMUSG00000022346	ENSMUSG00000039774	TF-TG
ENSMUSG00000022346	ENSMUSG00000040121	TF-TG
ENSMUSG00000022346	ENSMUSG00000040276	TF-TG
ENSMUSG00000022346	ENSMUSG00000040891	TF-TG
ENSMUSG00000022346	ENSMUSG00000041261	TF-TG
ENSMUSG00000022346	ENSMUSG00000041351	TF-TG
ENSMUSG00000022346	ENSMUSG00000042303	TF-TG
ENSMUSG00000022346	ENSMUSG00000042306	TF-TG
ENSMUSG00000022346	ENSMUSG00000044626	TF-TG
ENSMUSG00000022346	ENSMUSG00000045281	TF-TG
ENSMUSG00000022346	ENSMUSG00000046223	TF-TG
ENSMUSG00000022346	ENSMUSG00000046410	TF-TG
ENSMUSG00000022346	ENSMUSG00000047730	TF-TG
ENSMUSG00000022346	ENSMUSG00000048200	TF-TG
ENSMUSG00000022346	ENSMUSG00000048970	TF-TG
ENSMUSG00000022346	ENSMUSG00000049307	TF-TG
ENSMUSG00000022346	ENSMUSG00000049350	TF-TG
ENSMUSG00000022346	ENSMUSG00000052117	TF-TG
ENSMUSG00000022346	ENSMUSG00000053460	TF-TG
ENSMUSG00000022346	ENSMUSG00000053617	TF-TG
ENSMUSG00000022346	ENSMUSG00000056050	TF-TG
ENSMUSG00000022346	ENSMUSG00000056602	TF-TG
ENSMUSG00000022346	ENSMUSG00000057092	TF-TG
ENSMUSG00000022346	ENSMUSG00000059713	TF-TG
ENSMUSG00000022346	ENSMUSG00000060519	TF-TG
ENSMUSG00000022346	ENSMUSG00000061414	TF-TG
ENSMUSG00000022346	ENSMUSG00000061455	TF-TG
ENSMUSG00000022346	ENSMUSG00000062210	TF-TG
ENSMUSG00000022346	ENSMUSG00000062995	TF-TG
ENSMUSG00000022346	ENSMUSG00000066324	TF-TG
ENSMUSG00000022346	ENSMUSG00000070284	TF-TG
ENSMUSG00000022346	ENSMUSG00000072115	TF-TG
ENSMUSG00000022346	ENSMUSG00000073043	TF-TG
ENSMUSG00000022346	ENSMUSG00000075702	TF-TG
ENSMUSG00000022479	ENSMUSG00000001025	TF-TG
ENSMUSG00000022479	ENSMUSG00000002565	TF-TG
ENSMUSG00000022479	ENSMUSG00000002885	TF-TG
ENSMUSG00000022479	ENSMUSG00000003032	TF-TG
ENSMUSG00000022479	ENSMUSG00000003355	TF-TG
ENSMUSG00000022479	ENSMUSG00000003814	TF-TG
ENSMUSG00000022479	ENSMUSG00000004952	TF-TG
ENSMUSG00000022479	ENSMUSG00000010830	TF-TG
ENSMUSG00000022479	ENSMUSG00000013523	TF-TG
ENSMUSG00000022479	ENSMUSG00000013846	TF-TG
ENSMUSG00000022479	ENSMUSG00000019066	TF-TG
ENSMUSG00000022479	ENSMUSG00000019188	TF-TG
ENSMUSG00000022479	ENSMUSG00000020151	TF-TG
ENSMUSG00000022479	ENSMUSG00000020571	TF-TG
ENSMUSG00000022479	ENSMUSG00000020577	TF-TG
ENSMUSG00000022479	ENSMUSG00000020581	TF-TG
ENSMUSG00000022479	ENSMUSG00000022136	TF-TG
ENSMUSG00000022479	ENSMUSG00000022686	TF-TG
ENSMUSG00000022479	ENSMUSG00000022696	TF-TG
ENSMUSG00000022479	ENSMUSG00000022769	TF-TG
ENSMUSG00000022479	ENSMUSG00000022844	TF-TG
ENSMUSG00000022479	ENSMUSG00000023092	TF-TG
ENSMUSG00000022479	ENSMUSG00000023247	TF-TG
ENSMUSG00000022479	ENSMUSG00000023272	TF-TG
ENSMUSG00000022479	ENSMUSG00000023393	TF-TG
ENSMUSG00000022479	ENSMUSG00000024029	TF-TG
ENSMUSG00000022479	ENSMUSG00000024743	TF-TG
ENSMUSG00000022479	ENSMUSG00000024807	TF-TG
ENSMUSG00000022479	ENSMUSG00000024858	TF-TG
ENSMUSG00000022479	ENSMUSG00000025515	TF-TG
ENSMUSG00000022479	ENSMUSG00000026303	TF-TG
ENSMUSG00000022479	ENSMUSG00000026380	TF-TG
ENSMUSG00000022479	ENSMUSG00000026828	TF-TG
ENSMUSG00000022479	ENSMUSG00000026864	TF-TG
ENSMUSG00000022479	ENSMUSG00000026879	TF-TG
ENSMUSG00000022479	ENSMUSG00000027006	TF-TG
ENSMUSG00000022479	ENSMUSG00000027230	TF-TG
ENSMUSG00000022479	ENSMUSG00000027513	TF-TG
ENSMUSG00000022479	ENSMUSG00000027514	TF-TG
ENSMUSG00000022479	ENSMUSG00000027938	TF-TG
ENSMUSG00000022479	ENSMUSG00000028255	TF-TG
ENSMUSG00000022479	ENSMUSG00000028415	TF-TG
ENSMUSG00000022479	ENSMUSG00000028555	TF-TG
ENSMUSG00000022479	ENSMUSG00000028699	TF-TG
ENSMUSG00000022479	ENSMUSG00000029185	TF-TG
ENSMUSG00000022479	ENSMUSG00000029370	TF-TG
ENSMUSG00000022479	ENSMUSG00000029470	TF-TG
ENSMUSG00000022479	ENSMUSG00000029490	TF-TG
ENSMUSG00000022479	ENSMUSG00000030275	TF-TG
ENSMUSG00000022479	ENSMUSG00000030340	TF-TG
ENSMUSG00000022479	ENSMUSG00000030616	TF-TG
ENSMUSG00000022479	ENSMUSG00000030866	TF-TG
ENSMUSG00000022479	ENSMUSG00000031668	TF-TG
ENSMUSG00000022479	ENSMUSG00000031981	TF-TG
ENSMUSG00000022479	ENSMUSG00000032120	TF-TG
ENSMUSG00000022479	ENSMUSG00000032226	TF-TG
ENSMUSG00000022479	ENSMUSG00000032353	TF-TG
ENSMUSG00000022479	ENSMUSG00000032726	TF-TG
ENSMUSG00000022479	ENSMUSG00000032773	TF-TG
ENSMUSG00000022479	ENSMUSG00000032932	TF-TG
ENSMUSG00000022479	ENSMUSG00000033147	TF-TG
