miRNA	logFC	logCPM	PValue	FDR
mmu-miR-7032-3p	-2.787836287	-0.76018347	6.75E-01	1.00E+00
mmu-miR-543-3p	2.646944143	-0.76935553	6.76E-01	1.00E+00
mmu-miR-598-5p	2.646736015	-0.76935553	6.77E-01	1.00E+00
mmu-miR-363-5p	-2.789082186	-0.76018347	6.77E-01	1.00E+00
mmu-miR-154-5p	2.646458771	-0.76935553	6.78E-01	1.00E+00
mmu-miR-5134-5p	2.646208524	-0.76935553	6.78E-01	1.00E+00
mmu-miR-3102-3p.2-3p	-2.790188815	-0.76018347	6.79E-01	1.00E+00
mmu-miR-7663-3p	-2.790226028	-0.76018347	6.79E-01	1.00E+00
mmu-miR-3066-3p	2.645470456	-0.76935553	6.80E-01	1.00E+00
mmu-miR-338-3p	2.644839739	-0.76935553	6.81E-01	1.00E+00
mmu-miR-7075-3p	-2.791480407	-0.76018347	6.82E-01	1.00E+00
mmu-let-7d-3p	-0.122649588	9.23143408	6.82E-01	1.00E+00
mmu-miR-130a-5p	2.643598641	-0.76935553	6.84E-01	1.00E+00
mmu-miR-6994-3p	-2.792884607	-0.76018347	6.84E-01	1.00E+00
mmu-miR-7653-3p	2.643222217	-0.76935553	6.85E-01	1.00E+00
mmu-miR-7036b-5p	2.642871772	-0.76935553	6.86E-01	1.00E+00
mmu-miR-7231-5p	-2.794277009	-0.76018347	6.87E-01	1.00E+00
mmu-miR-26b-5p	0.120172835	11.79120918	6.88E-01	1.00E+00
mmu-miR-30b-3p	0.1427988	5.53224603	6.89E-01	1.00E+00
mmu-miR-677-3p	-2.795538694	-0.76018347	6.89E-01	1.00E+00
mmu-miR-374c-5p	-0.137276724	5.87592854	6.96E-01	1.00E+00
mmu-miR-374b-5p	-0.137271033	5.87592854	6.96E-01	1.00E+00
mmu-miR-1947-5p	-0.144726817	4.68762957	6.99E-01	1.00E+00
mmu-miR-98-3p	-0.247474825	2.65694834	7.05E-01	1.00E+00
mmu-miR-192-3p	0.136438745	6.78956947	7.07E-01	1.00E+00
mmu-let-7f-5p	-0.124768638	13.15860253	7.10E-01	1.00E+00
mmu-miR-6909-3p	-2.50417512	-0.77213872	7.12E-01	1.00E+00
mmu-miR-200a-5p	-0.118317909	8.15907166	7.12E-01	1.00E+00
mmu-miR-30a-3p	-0.11205355	7.45057229	7.12E-01	1.00E+00
mmu-miR-6930-5p	-2.504029012	-0.77213872	7.13E-01	1.00E+00
mmu-miR-1982-3p	-0.515472226	0.42712798	7.15E-01	1.00E+00
mmu-miR-3094-5p	-2.503807523	-0.77213872	7.15E-01	1.00E+00
mmu-miR-322-3p	-2.503619454	-0.77213872	7.17E-01	1.00E+00
mmu-miR-7029-5p	-2.50342904	-0.77213872	7.19E-01	1.00E+00
mmu-miR-1929-5p	-2.50328325	-0.77213872	7.20E-01	1.00E+00
mmu-miR-7647-5p	-2.503230438	-0.77213872	7.20E-01	1.00E+00
mmu-miR-7648-3p	-2.502942505	-0.77213872	7.23E-01	1.00E+00
mmu-miR-6964-3p	-2.502812923	-0.77213872	7.24E-01	1.00E+00
mmu-miR-34b-5p	-0.242010319	1.63650244	7.25E-01	1.00E+00
mmu-miR-146b-3p	-2.502560084	-0.77213872	7.27E-01	1.00E+00
mmu-miR-29c-3p	0.156133	4.08013156	7.28E-01	1.00E+00
mmu-miR-7008-5p	-2.502431809	-0.77213872	7.28E-01	1.00E+00
mmu-miR-3102-5p	-2.502293307	-0.77213872	7.30E-01	1.00E+00
mmu-miR-7689-3p	-2.384899643	-0.77749534	7.30E-01	1.00E+00
mmu-miR-7687-5p	-2.384850071	-0.77749534	7.31E-01	1.00E+00
mmu-miR-193b-3p	0.142607888	4.40661958	7.31E-01	1.00E+00
mmu-miR-7051-5p	-2.384633981	-0.77749534	7.31E-01	1.00E+00
mmu-miR-145a-5p	-2.384625631	-0.77749534	7.31E-01	1.00E+00
mmu-miR-6996-5p	-2.50203538	-0.77213872	7.32E-01	1.00E+00
mmu-miR-6971-3p	-2.384316617	-0.77749534	7.32E-01	1.00E+00
mmu-miR-7213-5p	-2.383887435	-0.77749534	7.34E-01	1.00E+00
mmu-miR-29c-5p	0.182271131	2.10655109	7.34E-01	1.00E+00
mmu-miR-30b-5p	0.115832324	9.72524566	7.35E-01	1.00E+00
mmu-miR-1943-3p	-2.501776686	-0.77213872	7.35E-01	1.00E+00
mmu-miR-6936-3p	-2.383496557	-0.77749534	7.35E-01	1.00E+00
mmu-miR-7674-3p	-2.383488648	-0.77749534	7.35E-01	1.00E+00
mmu-miR-6937-3p	-2.383457001	-0.77749534	7.36E-01	1.00E+00
mmu-miR-6941-3p	-2.383387995	-0.77749534	7.36E-01	1.00E+00
mmu-miR-500-5p	-2.383282013	-0.77749534	7.36E-01	1.00E+00
mmu-miR-6932-5p	-2.383025552	-0.77749534	7.37E-01	1.00E+00
mmu-miR-7682-3p	-2.383012573	-0.77749534	7.37E-01	1.00E+00
mmu-miR-6918-5p	-2.382183646	-0.77749534	7.40E-01	1.00E+00
mmu-miR-363-3p	-0.33749054	1.60984473	7.41E-01	1.00E+00
mmu-miR-345-3p	-0.107809433	6.10177849	7.43E-01	1.00E+00
mmu-miR-3069-5p	-2.381355666	-0.77749534	7.43E-01	1.00E+00
mmu-miR-341-3p	-2.380528856	-0.77749534	7.47E-01	1.00E+00
mmu-miR-200b-3p	0.097040813	14.16055221	7.47E-01	1.00E+00
mmu-miR-365-2-5p	0.251653668	1.68239813	7.47E-01	1.00E+00
mmu-miR-3073b-3p	-2.380053672	-0.77749534	7.48E-01	1.00E+00
mmu-miR-211-5p	-2.380016154	-0.77749534	7.49E-01	1.00E+00
mmu-miR-324-5p	-0.120023681	4.75107401	7.53E-01	1.00E+00
mmu-miR-33-5p	0.319720278	1.33231706	7.54E-01	1.00E+00
mmu-miR-320-3p	0.098467091	9.76278143	7.55E-01	1.00E+00
mmu-miR-324-3p	-0.09622899	4.94403944	7.59E-01	1.00E+00
mmu-miR-3074-1-3p	0.367603439	0.36769169	7.59E-01	1.00E+00
mmu-miR-101a-5p	0.290957367	0.63307374	7.60E-01	1.00E+00
mmu-miR-1948-3p	0.218413197	2.13920926	7.60E-01	1.00E+00
mmu-let-7d-5p	0.097842353	10.64453956	7.60E-01	1.00E+00
mmu-miR-30d-3p	0.097577389	6.0598089	7.65E-01	1.00E+00
mmu-miR-1839-5p	0.096098325	7.59850318	7.66E-01	1.00E+00
mmu-miR-6939-3p	0.678493061	-0.56773258	7.66E-01	1.00E+00
mmu-miR-3086-5p	-0.725335557	-0.39999363	7.66E-01	1.00E+00
mmu-miR-150-5p	-0.282632435	1.51040171	7.66E-01	1.00E+00
mmu-miR-5104	-0.73254779	-0.40867201	7.68E-01	1.00E+00
mmu-miR-340-5p	0.110426627	7.13470286	7.68E-01	1.00E+00
mmu-miR-34c-3p	0.273477199	0.77560745	7.72E-01	1.00E+00
mmu-miR-22-5p	0.133862353	3.60376101	7.78E-01	1.00E+00
mmu-miR-181b-5p	-0.118821505	8.64570689	7.78E-01	1.00E+00
mmu-miR-331-5p	-0.31071096	1.45227369	7.80E-01	1.00E+00
mmu-miR-582-5p	0.112625661	3.77758417	7.80E-01	1.00E+00
mmu-miR-7237-3p	-1.054795915	-0.24290561	7.82E-01	1.00E+00
mmu-miR-181a-1-3p	0.106262234	5.37524994	7.82E-01	1.00E+00
mmu-miR-664-5p	0.125461698	2.88904851	7.83E-01	1.00E+00
mmu-miR-29b-3p	-0.110432441	3.1533569	7.83E-01	1.00E+00
mmu-miR-345-5p	0.089951588	6.3659367	7.84E-01	1.00E+00
mmu-miR-3074-5p	-0.329119668	0.79248958	7.87E-01	1.00E+00
mmu-miR-505-3p	-0.500934595	-0.06110672	7.87E-01	1.00E+00
mmu-miR-339-3p	0.087813418	4.65204923	7.95E-01	1.00E+00
mmu-miR-301a-3p	-0.088095793	8.29723149	7.98E-01	1.00E+00
mmu-miR-361-5p	-0.095110092	6.94432041	8.06E-01	1.00E+00
mmu-miR-196b-5p	0.096629419	3.37819613	8.08E-01	1.00E+00
mmu-miR-7068-3p	-0.135349519	2.70534189	8.12E-01	1.00E+00
mmu-miR-138-5p	-0.17456018	1.26940969	8.18E-01	1.00E+00
mmu-miR-96-3p	-0.20100964	1.28808423	8.21E-01	1.00E+00
mmu-miR-7240-5p	0.493087513	-0.25634298	8.22E-01	1.00E+00
mmu-miR-192-5p	-0.069921813	18.14968966	8.26E-01	1.00E+00
mmu-miR-15a-5p	-0.067808059	7.45550569	8.34E-01	1.00E+00
mmu-miR-219a-5p	-0.287168958	0.33640242	8.45E-01	1.00E+00
mmu-miR-1981-5p	0.074350092	6.15089088	8.50E-01	1.00E+00
mmu-miR-6989-3p	0.479495053	-0.1032276	8.59E-01	1.00E+00
mmu-miR-10a-3p	0.121976031	1.70327753	8.63E-01	1.00E+00
mmu-miR-7035-3p	0.264823939	0.31041122	8.67E-01	1.00E+00
mmu-miR-874-3p	-0.140692416	3.23487834	8.69E-01	1.00E+00
mmu-miR-24-1-5p	-0.465419456	0.09362794	8.73E-01	1.00E+00
mmu-miR-128-1-5p	0.06980896	4.5430042	8.75E-01	1.00E+00
mmu-miR-3102-3p	0.100099274	2.04043087	8.80E-01	1.00E+00
mmu-miR-425-3p	0.049570207	5.24406276	8.87E-01	1.00E+00
mmu-miR-8111	-0.246170728	0.52797695	8.88E-01	1.00E+00
mmu-miR-34a-3p	0.252218488	0.22217985	9.03E-01	1.00E+00
mmu-miR-452-5p	-0.095774733	1.14771886	9.04E-01	1.00E+00
mmu-miR-30d-5p	0.034859661	13.79869401	9.12E-01	1.00E+00
mmu-miR-34c-5p	-0.052002255	6.84147765	9.12E-01	1.00E+00
mmu-miR-151-5p	0.032322099	10.63289648	9.13E-01	1.00E+00
mmu-miR-23b-3p	-0.032794257	9.96391739	9.13E-01	1.00E+00
mmu-miR-146b-5p	0.040215096	7.60245549	9.14E-01	1.00E+00
mmu-miR-296-5p	-0.160178655	1.27421324	9.18E-01	1.00E+00
mmu-miR-32-5p	0.072266787	2.6454889	9.25E-01	1.00E+00
mmu-miR-200c-5p	-0.052032139	3.7055228	9.32E-01	1.00E+00
mmu-miR-1964-3p	0.049929535	3.70131971	9.34E-01	1.00E+00
mmu-miR-190b-5p	0.094932606	1.88161223	9.34E-01	1.00E+00
mmu-miR-181c-5p	0.027839948	9.84927459	9.40E-01	1.00E+00
mmu-miR-185-5p	-0.030795918	4.37010402	9.59E-01	1.00E+00
mmu-let-7g-5p	-0.01223848	12.42542099	9.67E-01	1.00E+00
mmu-miR-27b-3p	-0.006761019	14.36927455	9.83E-01	1.00E+00
mmu-miR-425-5p	-0.005210492	9.49479778	9.88E-01	1.00E+00
mmu-miR-328-3p	-0.004561316	6.78870655	9.95E-01	1.00E+00
mmu-miR-183-3p	-0.005545984	6.10502906	9.95E-01	1.00E+00
mmu-miR-8103	-0.161546244	0.92741711	1.00E+00	1.00E+00
mmu-miR-326-5p	-0.510368865	-0.42135984	1.00E+00	1.00E+00
mmu-miR-3064-5p	-0.620186516	-0.42000294	1.00E+00	1.00E+00
mmu-miR-9-5p	-0.918500585	-0.70775945	1.00E+00	1.00E+00
mmu-miR-6516-3p	0.063325234	0.25937291	1.00E+00	1.00E+00
mmu-miR-6948-3p	-0.115013778	0.48790338	1.00E+00	1.00E+00
mmu-miR-6990-5p	-0.232886102	-0.32102587	1.00E+00	1.00E+00
mmu-miR-455-3p	-0.289601504	-0.04762316	1.00E+00	1.00E+00
mmu-miR-34b-3p	0.029671897	2.0902725	1.00E+00	1.00E+00
mmu-miR-3084-5p	-1.74524148	-0.87692845	1.00E+00	1.00E+00
mmu-miR-1839-3p	0.011787547	2.70872345	1.00E+00	1.00E+00
mmu-miR-344-3p	1.946293532	-0.87356166	1.00E+00	1.00E+00
mmu-miR-1258-5p	1.946191142	-0.87356166	1.00E+00	1.00E+00
mmu-miR-704	-0.141175251	0.68168629	1.00E+00	1.00E+00
mmu-let-7j	-0.104415077	1.69559701	1.00E+00	1.00E+00
mmu-miR-1958	-2.066580699	-0.8276048	1.00E+00	1.00E+00
mmu-miR-7065-3p	-1.985287954	-0.87087628	1.00E+00	1.00E+00
mmu-miR-103-1-5p	-1.745220049	-0.87692845	1.00E+00	1.00E+00
mmu-miR-6967-3p	-1.744885133	-0.87692845	1.00E+00	1.00E+00
mmu-miR-6395	-1.083298675	-0.93380926	1.00E+00	1.00E+00
mmu-miR-3098-5p	-0.851915562	-0.61441	1.00E+00	1.00E+00
mmu-miR-6909-5p	-0.574025381	-0.41636344	1.00E+00	1.00E+00
mmu-miR-3109-3p	-0.573949944	-0.41636344	1.00E+00	1.00E+00
mmu-miR-7033-5p	-0.414903135	-0.43733371	1.00E+00	1.00E+00
mmu-miR-676-5p	-0.412195693	0.11462064	1.00E+00	1.00E+00
mmu-miR-23a-5p	0.322220853	-0.58234386	1.00E+00	1.00E+00
mmu-miR-1306-3p	0.321665979	-0.58234386	1.00E+00	1.00E+00
mmu-miR-7655-3p	0.249363402	-0.58608318	1.00E+00	1.00E+00
mmu-miR-7054-5p	-0.246121045	-0.222188	1.00E+00	1.00E+00
mmu-miR-3473g	0.233347915	-0.5771637	1.00E+00	1.00E+00
mmu-miR-6946-3p	-0.225256216	-0.50310166	1.00E+00	1.00E+00
mmu-miR-874-5p	-0.188627096	-0.1117745	1.00E+00	1.00E+00
mmu-miR-6997-5p	0.162159442	-0.58091006	1.00E+00	1.00E+00
mmu-miR-486b-3p	0.161691687	-0.58091006	1.00E+00	1.00E+00
mmu-miR-486a-3p	0.160490133	-0.58091006	1.00E+00	1.00E+00
mmu-miR-5128	0.128083998	-0.92339811	1.00E+00	1.00E+00
mmu-miR-5122	-0.109011538	0.31103591	1.00E+00	1.00E+00
mmu-miR-1949	-0.103705257	0.46270817	1.00E+00	1.00E+00
mmu-miR-1927	-0.088834392	0.80623747	1.00E+00	1.00E+00
mmu-miR-7083-5p	0.075410929	-0.07747272	1.00E+00	1.00E+00
mmu-miR-186-3p	-0.067432259	-0.56925957	1.00E+00	1.00E+00
mmu-miR-7081-3p	-0.063804891	-0.56925957	1.00E+00	1.00E+00
mmu-miR-1934-5p	0.06159577	1.23910731	1.00E+00	1.00E+00
mmu-miR-6956-3p	0.058950187	0.14870227	1.00E+00	1.00E+00
mmu-miR-6988-3p	-0.057201519	1.15696876	1.00E+00	1.00E+00
mmu-miR-20b-5p	-0.016423331	0.16211141	1.00E+00	1.00E+00
mmu-miR-501-5p	0.008713557	1.02655639	1.00E+00	1.00E+00
mmu-miR-872-5p	0.005529101	5.98415062	1.00E+00	1.00E+00
mmu-miR-340-3p	-0.003374401	2.89034727	1.00E+00	1.00E+00
mmu-miR-708-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-708-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-99a-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-196a-1-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7059-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-1249-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7213-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-466q	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6769b-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-873a-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-467c-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5119	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7049-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-335-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-1b-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6922-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7679-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6546-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-199a-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-760-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5132-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-18b-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-335-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6900-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-145a-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-365-1-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7661-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7093-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7008-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3108-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7212-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-429-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-669c-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-1231-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6954-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7687-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3089-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3110-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6932-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-199b-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5132-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6921-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-214-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-1955-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-8094	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-142a-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7026-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-135a-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-133b-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7680-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3963	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-692	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-338-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7669-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7006-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-1932	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5620-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7671-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7658-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5627-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6951-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3099-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-1930-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6976-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-193b-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-223-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-181d-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6975-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3073a-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-19a-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6955-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-190a-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7052-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7030-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7647-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-136-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7116-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6979-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7013-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7083-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3077-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6897-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7021-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7079-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3079-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5133	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-126b-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-135b-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-219c-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7664-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-1968-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7089-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3057-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3618-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7662-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-181b-2-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7018-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5615-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-10b-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7067-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7054-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7659-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7073-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-491-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6986-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-7041-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-328-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3474	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6993-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-3081-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-5101	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6929-3p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-6940-5p	0	-0.99023198	1.00E+00	1.00E+00
mmu-miR-511-3p	0	-0.99023198	1.00E+00	1.00E+00
