miRNA	logFC	logCPM	PValue	FDR
mmu-miR-193a-3p	-0.847314181	2.3888248	8.60E-02	4.06E-01
mmu-miR-802-3p	-0.51744253	7.09240152	8.70E-02	4.08E-01
mmu-miR-8112	1.07236002	1.53177726	8.92E-02	4.16E-01
mmu-miR-155-5p	-0.656418119	3.50943652	9.01E-02	4.17E-01
mmu-miR-667-3p	4.157052525	-0.40245755	9.27E-02	4.26E-01
mmu-miR-3058-3p	-4.055673531	-0.40059287	9.63E-02	4.40E-01
mmu-miR-300-3p	2.223977368	-0.05651911	9.88E-02	4.43E-01
mmu-miR-19a-3p	-0.588507554	6.35007009	9.93E-02	4.43E-01
mmu-miR-132-5p	1.5446884	0.12769434	9.95E-02	4.43E-01
mmu-miR-532-3p	0.52504398	4.35970811	1.00E-01	4.43E-01
mmu-miR-7070-3p	4.086712194	-0.46765743	1.00E-01	4.43E-01
mmu-miR-5121	-0.891189111	2.88165943	1.06E-01	4.65E-01
mmu-miR-872-3p	-0.710603875	4.92347167	1.08E-01	4.71E-01
mmu-miR-130b-3p	-0.467049314	9.15126294	1.09E-01	4.71E-01
mmu-miR-19b-3p	-0.555970686	7.62178412	1.10E-01	4.71E-01
mmu-miR-194-1-3p	-0.571468939	9.1504548	1.10E-01	4.71E-01
mmu-miR-148a-5p	0.477232402	9.32687007	1.15E-01	4.89E-01
mmu-miR-128-3p	-0.502652351	5.82046795	1.21E-01	5.05E-01
mmu-miR-203-5p	-0.55076584	3.80030284	1.21E-01	5.05E-01
mmu-miR-350-3p	1.301023181	0.65027645	1.22E-01	5.05E-01
mmu-let-7c-5p	0.467595059	12.68787087	1.22E-01	5.05E-01
mmu-miR-181b-1-3p	-1.275183435	1.25212877	1.23E-01	5.05E-01
mmu-miR-34a-5p	-0.607036994	7.53875565	1.23E-01	5.05E-01
mmu-miR-137-5p	3.903219634	-0.4877906	1.27E-01	5.16E-01
mmu-miR-1948-5p	3.902680606	-0.4877906	1.28E-01	5.16E-01
mmu-miR-6972-3p	3.902245642	-0.4877906	1.29E-01	5.16E-01
mmu-miR-8097	3.91645393	-0.48593825	1.29E-01	5.16E-01
mmu-miR-99b-3p	0.62270642	3.3744137	1.31E-01	5.23E-01
mmu-miR-19b-1-5p	-1.932162278	0.00549525	1.32E-01	5.23E-01
mmu-miR-1843a-3p	0.85123521	2.96016828	1.35E-01	5.26E-01
mmu-miR-31-5p	-0.475735144	11.35072484	1.35E-01	5.26E-01
mmu-miR-26a-2-3p	0.58503781	3.67478581	1.37E-01	5.26E-01
mmu-miR-26a-5p	0.44584669	13.24426955	1.37E-01	5.26E-01
mmu-miR-3061-5p	-1.954415657	0.04418814	1.37E-01	5.26E-01
mmu-miR-5126	1.00678878	2.10546857	1.38E-01	5.26E-01
mmu-let-7b-5p	0.436824614	11.4726948	1.38E-01	5.26E-01
mmu-miR-455-5p	-3.778303514	-0.48664787	1.39E-01	5.26E-01
mmu-let-7i-5p	-0.445717125	12.76792909	1.47E-01	5.53E-01
mmu-miR-6922-3p	-3.794759504	-0.48599484	1.49E-01	5.57E-01
mmu-miR-25-5p	-0.619892597	5.28998144	1.49E-01	5.57E-01
mmu-miR-1943-5p	0.886322374	1.35539576	1.51E-01	5.58E-01
mmu-miR-146a-5p	0.604353125	3.82187913	1.51E-01	5.58E-01
mmu-miR-379-5p	3.815970432	-0.55601896	1.52E-01	5.58E-01
mmu-miR-7064-5p	3.780705056	-0.55980021	1.53E-01	5.58E-01
mmu-miR-215-5p	-0.473205559	17.38683166	1.56E-01	5.58E-01
mmu-miR-342-3p	0.468549417	7.04064157	1.56E-01	5.58E-01
mmu-miR-215-3p	-0.502670675	11.20408412	1.56E-01	5.58E-01
mmu-miR-6943-3p	3.782004277	-0.55980021	1.56E-01	5.58E-01
mmu-miR-10b-5p	-1.023788788	10.0672309	1.58E-01	5.62E-01
mmu-miR-106a-5p	-2.091831901	0.05873743	1.60E-01	5.67E-01
mmu-miR-148b-3p	0.466309776	11.1901206	1.61E-01	5.67E-01
mmu-miR-6911-3p	-1.404674587	0.98254465	1.63E-01	5.72E-01
mmu-miR-25-3p	-0.42833067	12.37916728	1.67E-01	5.83E-01
mmu-miR-190a-5p	-0.574563711	3.11958919	1.69E-01	5.85E-01
mmu-miR-32-3p	-0.783956969	1.29676968	1.72E-01	5.95E-01
mmu-miR-30c-5p	-0.397466598	10.59608484	1.74E-01	5.98E-01
mmu-miR-16-1-3p	-0.643986895	2.27331681	1.78E-01	6.07E-01
mmu-miR-183-5p	0.733566724	12.69556973	1.88E-01	6.39E-01
mmu-miR-339-5p	-0.439007231	4.19333942	1.92E-01	6.49E-01
mmu-miR-1930-5p	1.802279829	0.02302527	1.94E-01	6.52E-01
mmu-miR-6944-3p	0.874828517	1.21940446	1.97E-01	6.58E-01
mmu-miR-378a-5p	-0.468614795	6.49871726	2.01E-01	6.69E-01
mmu-miR-29b-1-5p	0.80739731	1.24586342	2.06E-01	6.85E-01
mmu-miR-3095-3p	3.614369253	-0.57446056	2.09E-01	6.89E-01
mmu-miR-7091-3p	3.612985925	-0.57446056	2.11E-01	6.92E-01
mmu-miR-421-5p	-3.642436558	-0.50321372	2.13E-01	6.92E-01
mmu-miR-431-5p	3.612180821	-0.57446056	2.13E-01	6.92E-01
mmu-miR-191-5p	0.501635395	15.56134972	2.21E-01	7.16E-01
mmu-miR-3076-3p	-0.671829196	2.22647335	2.23E-01	7.17E-01
mmu-miR-141-3p	0.513473077	11.14735677	2.23E-01	7.17E-01
mmu-let-7c-1-3p	-3.505404736	-0.5719685	2.25E-01	7.19E-01
