miRNA	logFC	logCPM	PValue	FDR
mmu-miR-1306-5p	-1.186320137	2.96E+00	2.07E-02	8.98E-02
mmu-miR-6952-3p	-2.878503654	5.44E-01	2.18E-02	9.42E-02
mmu-miR-100-5p	2.131303157	9.92E-01	2.39E-02	1.02E-01
mmu-miR-6516-5p	4.855409583	-3.39E-01	2.44E-02	1.04E-01
mmu-miR-22-5p	0.962413293	4.14E+00	2.48E-02	1.05E-01
mmu-miR-149-5p	0.931031721	4.09E+00	2.50E-02	1.05E-01
mmu-miR-345-5p	0.800201535	6.85E+00	2.57E-02	1.07E-01
mmu-let-7d-3p	-0.692851105	9.21E+00	2.70E-02	1.12E-01
mmu-miR-29b-1-5p	1.354540221	1.60E+00	2.71E-02	1.12E-01
mmu-miR-17-3p	-0.788043309	5.40E+00	2.84E-02	1.17E-01
mmu-miR-802-5p	-0.698948117	9.82E+00	3.17E-02	1.29E-01
mmu-miR-676-3p	0.855229164	3.87E+00	3.19E-02	1.30E-01
mmu-miR-365-3p	-1.048601857	3.68E+00	3.28E-02	1.32E-01
mmu-miR-132-5p	2.079085773	3.59E-01	3.35E-02	1.34E-01
mmu-miR-6911-3p	-2.885135398	9.50E-01	3.71E-02	1.48E-01
mmu-miR-582-3p	-0.716344838	6.76E+00	3.74E-02	1.48E-01
mmu-miR-6969-3p	1.201174175	2.19E+00	3.79E-02	1.49E-01
mmu-miR-1956	-5.303136819	1.61E-01	3.80E-02	1.49E-01
mmu-miR-296-5p	1.271272052	2.02E+00	4.07E-02	1.59E-01
mmu-miR-582-5p	0.855051255	4.27E+00	4.13E-02	1.60E-01
mmu-miR-93-3p	-0.851640265	4.72E+00	4.17E-02	1.61E-01
mmu-miR-340-3p	0.926843574	3.46E+00	4.22E-02	1.62E-01
mmu-miR-128-1-5p	-0.897660134	4.37E+00	4.26E-02	1.62E-01
mmu-miR-1968-5p	-0.825798245	4.79E+00	4.50E-02	1.71E-01
mmu-miR-125b-1-3p	4.790829565	-2.46E-01	4.67E-02	1.76E-01
mmu-miR-1936	-4.642833893	-2.38E-01	4.91E-02	1.84E-01
mmu-miR-122-5p	4.45559003	-4.54E-01	5.12E-02	1.91E-01
mmu-miR-28c	-0.649221455	8.14E+00	5.23E-02	1.93E-01
mmu-miR-28a-5p	-0.649221065	8.14E+00	5.24E-02	1.93E-01
mmu-miR-664-3p	1.04745886	2.55E+00	5.42E-02	1.99E-01
mmu-miR-30d-3p	0.619994323	6.45E+00	5.60E-02	2.04E-01
mmu-miR-7a-1-3p	0.701654258	5.23E+00	5.76E-02	2.09E-01
mmu-miR-1933-3p	-1.509042745	1.12E+00	6.18E-02	2.23E-01
mmu-miR-877-3p	-1.150393691	2.38E+00	6.30E-02	2.26E-01
mmu-miR-361-3p	-0.734169413	5.74E+00	6.47E-02	2.31E-01
mmu-miR-199a-5p	4.633115649	-3.18E-01	6.55E-02	2.33E-01
mmu-miR-21a-5p	0.573152401	1.47E+01	6.83E-02	2.42E-01
mmu-miR-541-5p	-1.238404519	2.38E+00	7.18E-02	2.53E-01
mmu-miR-148b-5p	-0.618834704	5.47E+00	7.77E-02	2.72E-01
mmu-miR-224-5p	-0.578789596	6.80E+00	8.23E-02	2.87E-01
mmu-miR-423-5p	-0.707488081	7.87E+00	8.29E-02	2.88E-01
mmu-miR-15b-3p	-0.683484355	5.65E+00	8.34E-02	2.88E-01
mmu-miR-221-3p	-0.624386051	7.94E+00	8.39E-02	2.88E-01
mmu-miR-501-3p	0.753053044	4.69E+00	8.56E-02	2.92E-01
mmu-miR-106b-3p	-0.589896504	7.44E+00	8.90E-02	3.02E-01
mmu-miR-499-5p	-5.606039914	4.09E-01	8.95E-02	3.03E-01
mmu-miR-185-3p	-0.966269954	2.19E+00	9.17E-02	3.09E-01
mmu-miR-1960	-2.330552812	3.15E-01	9.27E-02	3.11E-01
mmu-miR-744-5p	-0.583675919	8.80E+00	9.59E-02	3.19E-01
mmu-miR-7035-3p	-4.701816122	-1.79E-01	9.61E-02	3.19E-01
mmu-miR-193a-3p	0.923772015	3.28E+00	9.84E-02	3.25E-01
mmu-miR-335-3p	4.234105062	-5.40E-01	1.00E-01	3.29E-01
mmu-miR-183-5p	0.729728373	1.28E+01	1.01E-01	3.29E-01
mmu-miR-383-5p	4.234240223	-5.40E-01	1.02E-01	3.31E-01
mmu-miR-434-5p	4.234290396	-5.40E-01	1.02E-01	3.31E-01
mmu-miR-532-3p	0.575284134	4.49E+00	1.03E-01	3.32E-01
mmu-miR-1927	-1.990728878	5.12E-01	1.04E-01	3.35E-01
mmu-miR-34a-3p	1.734390678	9.25E-01	1.05E-01	3.37E-01
mmu-miR-7677-3p	-4.528935247	-2.61E-01	1.10E-01	3.47E-01
mmu-miR-7049-5p	3.97254746	-6.33E-01	1.10E-01	3.47E-01
mmu-miR-320-3p	-0.526808064	9.68E+00	1.10E-01	3.47E-01
mmu-miR-873a-5p	3.972878356	-6.33E-01	1.11E-01	3.47E-01
mmu-miR-6769b-3p	3.973232382	-6.33E-01	1.11E-01	3.48E-01
mmu-miR-429-3p	0.479356893	1.22E+01	1.12E-01	3.49E-01
mmu-miR-7236-3p	3.974011736	-6.33E-01	1.14E-01	3.51E-01
mmu-miR-451a	1.363834451	9.46E-01	1.16E-01	3.57E-01
mmu-miR-30d-5p	-0.521059464	1.38E+01	1.19E-01	3.64E-01
mmu-miR-802-3p	-0.518547205	7.30E+00	1.19E-01	3.64E-01
mmu-miR-29c-5p	0.776896029	2.49E+00	1.21E-01	3.65E-01
mmu-miR-26b-3p	-0.545507009	6.20E+00	1.21E-01	3.65E-01
mmu-miR-190b-5p	0.795057071	2.30E+00	1.23E-01	3.71E-01
mmu-miR-27b-3p	0.472361933	1.47E+01	1.27E-01	3.81E-01
mmu-miR-101b-3p	0.52872216	8.29E+00	1.28E-01	3.81E-01
mmu-miR-192-5p	-0.469356418	1.82E+01	1.29E-01	3.83E-01
mmu-miR-17-5p	-0.519360949	9.13E+00	1.32E-01	3.86E-01
mmu-miR-25-3p	-0.488388809	1.26E+01	1.32E-01	3.86E-01
mmu-miR-874-3p	-0.965357916	3.15E+00	1.32E-01	3.86E-01
mmu-miR-15a-3p	-1.724579304	4.47E-01	1.32E-01	3.86E-01
mmu-miR-1843a-3p	0.924144294	3.07E+00	1.39E-01	4.04E-01
mmu-miR-363-3p	1.301043037	2.51E+00	1.40E-01	4.06E-01
mmu-miR-130a-3p	-0.477951425	7.81E+00	1.42E-01	4.09E-01
mmu-miR-5099	-0.571020578	5.12E+00	1.42E-01	4.09E-01
mmu-let-7i-3p	0.718336186	3.40E+00	1.45E-01	4.15E-01
mmu-let-7i-5p	-0.475995643	1.30E+01	1.45E-01	4.15E-01
mmu-miR-877-5p	-1.057368169	2.62E+00	1.47E-01	4.17E-01
mmu-miR-24-1-5p	1.654038987	9.86E-01	1.53E-01	4.31E-01
mmu-miR-27b-5p	-0.530326627	5.89E+00	1.55E-01	4.36E-01
mmu-miR-1983	-0.624579745	4.59E+00	1.55E-01	4.36E-01
mmu-miR-191-3p	-0.512988862	4.78E+00	1.57E-01	4.37E-01
mmu-miR-139-3p	1.497066059	2.89E-01	1.58E-01	4.39E-01
mmu-miR-98-5p	-0.469862636	1.02E+01	1.58E-01	4.39E-01
mmu-miR-664-5p	0.609273587	3.24E+00	1.61E-01	4.42E-01
mmu-miR-3105-5p	4.241180616	-4.76E-01	1.61E-01	4.42E-01
mmu-miR-652-5p	4.240903901	-4.76E-01	1.61E-01	4.42E-01
mmu-miR-30e-5p	-0.448321727	1.29E+01	1.64E-01	4.47E-01
mmu-miR-194-2-3p	-0.450722106	7.41E+00	1.65E-01	4.47E-01
mmu-miR-127-3p	-0.922906529	4.88E+00	1.66E-01	4.47E-01
mmu-miR-30b-3p	-0.515723005	5.43E+00	1.66E-01	4.47E-01
mmu-let-7g-3p	1.228516542	1.73E+00	1.66E-01	4.47E-01
mmu-miR-128-3p	-0.513369868	6.02E+00	1.69E-01	4.53E-01
mmu-miR-183-3p	0.433892742	6.45E+00	1.73E-01	4.58E-01
mmu-miR-5132-5p	3.996307679	-5.63E-01	1.74E-01	4.58E-01
mmu-miR-18b-5p	3.996207203	-5.63E-01	1.74E-01	4.58E-01
mmu-miR-672-5p	0.831437826	1.68E+00	1.75E-01	4.58E-01
mmu-miR-193b-3p	-0.603819729	4.28E+00	1.76E-01	4.58E-01
mmu-miR-760-3p	3.995076801	-5.63E-01	1.76E-01	4.58E-01
mmu-miR-10b-5p	-0.868212013	1.04E+01	1.76E-01	4.58E-01
mmu-miR-133a-3p	0.82450285	1.94E+00	1.77E-01	4.58E-01
mmu-miR-3058-3p	-4.323717006	-4.06E-01	1.78E-01	4.60E-01
mmu-miR-191-5p	-0.487405808	1.53E+01	1.79E-01	4.61E-01
mmu-miR-26a-1-3p	0.860259607	3.41E+00	1.84E-01	4.71E-01
mmu-miR-22-3p	0.481701782	1.38E+01	1.88E-01	4.78E-01
mmu-miR-26a-5p	0.414223901	1.33E+01	1.88E-01	4.78E-01
mmu-miR-1843b-3p	-0.790993558	2.61E+00	1.97E-01	5.00E-01
mmu-miR-30a-5p	-0.436766252	1.31E+01	2.00E-01	5.05E-01
mmu-miR-1943-5p	0.838729811	1.40E+00	2.01E-01	5.05E-01
mmu-miR-196a-1-3p	4.25818297	-6.09E-01	2.01E-01	5.05E-01
mmu-miR-6240	0.48344624	6.72E+00	2.04E-01	5.09E-01
mmu-miR-1839-5p	0.430146159	7.89E+00	2.05E-01	5.09E-01
mmu-miR-106b-5p	0.440073285	7.78E+00	2.05E-01	5.09E-01
mmu-miR-3074-5p	-1.221393986	6.80E-01	2.06E-01	5.10E-01
mmu-miR-93-5p	-0.393483577	1.18E+01	2.13E-01	5.26E-01
mmu-miR-200a-5p	-0.437612791	8.22E+00	2.17E-01	5.32E-01
mmu-miR-328-3p	-0.413831477	6.80E+00	2.19E-01	5.35E-01
mmu-miR-8111	-1.254565983	3.83E-01	2.21E-01	5.35E-01
mmu-miR-484	-0.395894313	8.31E+00	2.21E-01	5.35E-01
mmu-miR-148b-3p	-0.378438283	1.10E+01	2.21E-01	5.35E-01
mmu-miR-339-5p	-0.529940356	4.35E+00	2.22E-01	5.35E-01
mmu-miR-874-5p	-4.208433229	-4.22E-01	2.23E-01	5.35E-01
mmu-miR-30e-3p	-0.398056075	8.43E+00	2.24E-01	5.37E-01
mmu-miR-148a-5p	0.369098552	9.39E+00	2.28E-01	5.42E-01
mmu-miR-452-5p	-0.990848893	1.01E+00	2.28E-01	5.42E-01
mmu-miR-200b-5p	0.380155293	7.42E+00	2.29E-01	5.43E-01
mmu-miR-501-5p	0.975695208	1.55E+00	2.30E-01	5.44E-01
mmu-miR-3082-3p	-0.63505395	3.48E+00	2.35E-01	5.53E-01
mmu-miR-5114	-0.650752312	2.16E+00	2.45E-01	5.75E-01
mmu-miR-208b-3p	-1.866341185	9.29E-01	2.47E-01	5.75E-01
mmu-miR-7054-5p	-4.102035146	-5.00E-01	2.47E-01	5.75E-01
mmu-miR-196b-5p	-0.712937376	3.24E+00	2.47E-01	5.75E-01
mmu-let-7b-3p	-0.43219651	5.82E+00	2.50E-01	5.78E-01
mmu-miR-6922-3p	-4.062992818	-5.06E-01	2.51E-01	5.80E-01
mmu-let-7b-5p	0.33811473	1.15E+01	2.58E-01	5.94E-01
mmu-miR-301b-3p	-0.436422257	5.95E+00	2.66E-01	6.09E-01
mmu-miR-6944-3p	-1.00074109	6.86E-01	2.79E-01	6.37E-01
mmu-miR-195a-3p	1.561345119	3.13E-01	2.81E-01	6.37E-01
mmu-miR-335-5p	3.697836543	-6.56E-01	2.81E-01	6.37E-01
mmu-miR-1306-3p	1.723315295	-2.85E-01	2.86E-01	6.46E-01
mmu-miR-425-3p	-0.398504402	5.23E+00	2.87E-01	6.48E-01
mmu-let-7j	-0.725931617	1.64E+00	2.88E-01	6.48E-01
mmu-miR-744-3p	-0.46522592	3.27E+00	2.89E-01	6.48E-01
mmu-miR-200b-3p	-0.335028125	1.41E+01	2.91E-01	6.51E-01
mmu-miR-18a-5p	0.394722752	6.82E+00	3.01E-01	6.69E-01
mmu-miR-3068-5p	0.963003252	5.51E-01	3.03E-01	6.72E-01
mmu-miR-1249-5p	3.861137919	-7.20E-01	3.05E-01	6.76E-01
mmu-miR-7059-5p	3.861926138	-7.20E-01	3.07E-01	6.77E-01
mmu-miR-137-5p	3.862904702	-7.20E-01	3.09E-01	6.80E-01
mmu-miR-330-3p	-0.510782336	2.56E+00	3.13E-01	6.86E-01
mmu-miR-190a-5p	0.432919901	3.69E+00	3.17E-01	6.92E-01
mmu-let-7d-5p	-0.324767694	1.06E+01	3.19E-01	6.92E-01
mmu-miR-6990-5p	-3.766763923	-6.07E-01	3.19E-01	6.92E-01
mmu-miR-342-5p	0.471546765	4.06E+00	3.24E-01	7.02E-01
mmu-miR-374b-5p	0.333482266	6.24E+00	3.26E-01	7.02E-01
mmu-miR-374c-5p	0.333467481	6.24E+00	3.27E-01	7.03E-01
mmu-miR-186-5p	-0.315615211	1.03E+01	3.28E-01	7.03E-01
mmu-miR-181b-1-3p	0.660530083	2.03E+00	3.29E-01	7.03E-01
mmu-miR-9769-3p	-1.155177485	4.40E-01	3.31E-01	7.05E-01
mmu-miR-322-5p	-1.646390977	1.91E-01	3.36E-01	7.13E-01
mmu-miR-7688-5p	-0.627797928	2.67E+00	3.39E-01	7.16E-01
mmu-miR-185-5p	-0.39821849	4.39E+00	3.39E-01	7.16E-01
mmu-let-7f-5p	-0.3501047	1.32E+01	3.41E-01	7.18E-01
mmu-miR-203-5p	-0.378700505	4.05E+00	3.44E-01	7.22E-01
mmu-miR-676-5p	0.974620255	6.13E-01	3.49E-01	7.30E-01
mmu-miR-96-3p	0.558153511	1.70E+00	3.58E-01	7.47E-01
mmu-miR-142a-5p	0.578993345	3.82E+00	3.65E-01	7.58E-01
mmu-miR-3061-3p	-0.615820454	1.73E+00	3.69E-01	7.65E-01
mmu-miR-704	-0.961666452	5.62E-01	3.71E-01	7.66E-01
mmu-miR-107-5p	-1.207272706	2.04E-01	3.76E-01	7.74E-01
mmu-miR-103-2-5p	-1.208149327	2.04E-01	3.77E-01	7.75E-01
mmu-miR-212-5p	0.999155474	8.44E-01	3.86E-01	7.88E-01
mmu-miR-3109-3p	-3.602477026	-6.25E-01	3.86E-01	7.88E-01
mmu-miR-3064-5p	-3.602053216	-6.25E-01	3.87E-01	7.89E-01
mmu-miR-181b-5p	-0.394313119	8.72E+00	3.94E-01	7.99E-01
mmu-miR-3084-3p	3.389239912	-7.91E-01	3.99E-01	8.08E-01
mmu-miR-425-5p	-0.281760293	9.55E+00	4.08E-01	8.21E-01
mmu-let-7c-5p	0.252605979	1.27E+01	4.08E-01	8.21E-01
mmu-miR-5104	-3.719637118	-6.13E-01	4.15E-01	8.32E-01
mmu-miR-7085-3p	-3.719932524	-6.13E-01	4.16E-01	8.33E-01
mmu-miR-181a-5p	0.331026782	1.24E+01	4.18E-01	8.34E-01
mmu-miR-1198-5p	0.25923558	6.13E+00	4.27E-01	8.48E-01
