miRNA	logFC	logCPM	PValue	FDR
mmu-miR-210-5p	-7.299354148	7.75E+00	8.08E-40	5.58E-37
mmu-miR-204-5p	7.202940053	5.02E+00	1.50E-35	5.16E-33
mmu-miR-153-3p	5.597278869	5.46E+00	1.08E-33	2.48E-31
mmu-miR-7a-2-3p	4.303927007	5.70E+00	1.29E-28	2.23E-26
mmu-miR-1224-5p	4.56934219	5.64E+00	4.18E-25	5.77E-23
mmu-miR-210-3p	-5.044937353	9.77E+00	6.73E-23	7.74E-21
mmu-miR-7b-5p	3.223736635	4.55E+00	2.13E-16	2.10E-14
mmu-miR-194-1-3p	-3.791085363	8.89E+00	2.74E-15	2.37E-13
mmu-miR-101c	2.63740902	8.69E+00	3.93E-15	3.01E-13
mmu-miR-101a-3p	2.637391458	8.69E+00	9.42E-15	6.10E-13
mmu-miR-143-3p	3.259400389	5.69E+00	9.73E-15	6.10E-13
mmu-miR-152-3p	2.741433893	4.52E+00	1.01E-12	5.83E-11
mmu-miR-137-3p	4.970337877	2.43E+00	1.31E-12	6.95E-11
mmu-miR-10a-3p	3.297366503	3.82E+00	2.02E-12	9.94E-11
mmu-miR-598-3p	2.927356578	3.86E+00	3.66E-11	1.68E-09
mmu-miR-7a-5p	2.083260623	6.73E+00	8.49E-11	3.66E-09
mmu-miR-215-5p	-2.518603118	1.72E+01	1.97E-10	7.99E-09
mmu-miR-146a-5p	2.602236265	5.23E+00	3.88E-10	1.49E-08
mmu-miR-29c-3p	2.304399157	5.50E+00	4.80E-10	1.74E-08
mmu-miR-879-5p	4.808296545	2.28E+00	5.12E-10	1.77E-08
mmu-miR-92a-3p	-2.054153976	1.53E+01	8.66E-10	2.85E-08
mmu-miR-574-3p	2.09963591	6.12E+00	4.24E-09	1.33E-07
mmu-miR-350-3p	3.644525061	2.20E+00	5.32E-09	1.59E-07
mmu-miR-215-3p	-2.565873051	1.10E+01	5.80E-09	1.67E-07
mmu-miR-147-3p	-3.686620868	4.84E+00	1.24E-08	3.42E-07
mmu-miR-362-3p	2.737523484	3.37E+00	1.42E-08	3.76E-07
mmu-miR-449c-5p	-3.861662787	3.61E+00	1.57E-08	4.00E-07
mmu-miR-6539	-2.184621639	5.14E+00	2.24E-08	5.52E-07
mmu-miR-187-3p	2.535843728	4.38E+00	2.88E-08	6.85E-07
mmu-miR-375-3p	2.009807978	1.59E+01	3.27E-08	7.53E-07
mmu-miR-10a-5p	2.230682782	1.39E+01	3.81E-08	8.48E-07
mmu-miR-29b-3p	2.142279313	4.57E+00	5.25E-08	1.13E-06
mmu-miR-708-5p	6.942536615	9.72E-01	5.88E-08	1.23E-06
mmu-miR-1945	6.906774248	9.43E-01	1.03E-07	2.08E-06
mmu-miR-222-3p	-1.896708239	7.27E+00	1.21E-07	2.39E-06
mmu-miR-351-5p	-3.978592606	2.24E+00	1.40E-07	2.68E-06
mmu-miR-195a-5p	2.162292131	4.01E+00	1.95E-07	3.63E-06
mmu-miR-139-5p	1.849673079	5.69E+00	2.03E-07	3.69E-06
mmu-miR-378a-3p	-1.708277191	1.43E+01	3.33E-07	5.89E-06
mmu-miR-708-3p	6.781354472	8.73E-01	3.73E-07	6.43E-06
mmu-miR-1224-3p	4.104788389	1.54E+00	4.87E-07	8.20E-06
mmu-miR-218-5p	-2.265675695	5.27E+00	7.04E-07	1.16E-05
mmu-miR-92b-3p	-2.165664075	4.30E+00	7.68E-07	1.23E-05
mmu-miR-3547-3p	6.609567139	7.28E-01	8.93E-07	1.40E-05
mmu-miR-7b-3p	6.594560402	7.37E-01	1.40E-06	2.15E-05
mmu-miR-350-5p	2.985546395	2.17E+00	1.80E-06	2.70E-05
mmu-miR-378d	-1.669206266	6.95E+00	1.98E-06	2.91E-05
mmu-miR-32-5p	2.070270199	3.90E+00	2.49E-06	3.53E-05
mmu-miR-141-3p	1.861140677	1.21E+01	2.54E-06	3.53E-05
mmu-miR-184-3p	2.808244839	2.64E+00	2.56E-06	3.53E-05
mmu-miR-205-5p	-1.740697493	6.23E+00	2.61E-06	3.53E-05
mmu-miR-30b-5p	1.474757613	1.06E+01	3.90E-06	5.17E-05
mmu-miR-3076-3p	-3.362881672	2.00E+00	4.54E-06	5.91E-05
mmu-miR-340-5p	1.566730927	8.07E+00	8.24E-06	1.05E-04
mmu-miR-99a-3p	6.379556815	5.86E-01	8.53E-06	1.07E-04
mmu-miR-879-3p	6.32589424	5.47E-01	9.49E-06	1.17E-04
mmu-miR-33-3p	2.377386289	3.05E+00	9.79E-06	1.19E-04
mmu-miR-700-3p	1.797605042	3.99E+00	1.05E-05	1.25E-04
mmu-miR-3535	-2.20511934	5.67E+00	1.54E-05	1.80E-04
mmu-miR-218-1-3p	-3.199507553	1.96E+00	1.85E-05	2.12E-04
mmu-miR-125b-2-3p	2.339814025	2.89E+00	1.97E-05	2.23E-04
mmu-miR-5126	2.904899604	3.42E+00	3.03E-05	3.37E-04
mmu-miR-344-3p	6.337682716	5.83E-01	3.22E-05	3.53E-04
mmu-miR-199a-3p=mmu-miR-199b-3p	3.969173133	1.44E+00	3.35E-05	3.61E-04
mmu-miR-15b-5p	-1.4475675	9.49E+00	3.40E-05	3.61E-04
mmu-miR-146b-5p	-1.398907874	7.33E+00	3.58E-05	3.74E-04
mmu-miR-342-3p	1.38929119	7.67E+00	3.96E-05	4.07E-04
mmu-miR-101a-5p	2.695980351	2.02E+00	5.60E-05	5.68E-04
mmu-miR-1981-3p	-1.985110146	4.72E+00	6.26E-05	6.26E-04
mmu-miR-96-5p	1.412102399	6.93E+00	6.69E-05	6.58E-04
mmu-miR-212-3p	2.478187457	1.91E+00	6.77E-05	6.58E-04
mmu-miR-1981-5p	-1.900691977	5.77E+00	7.16E-05	6.86E-04
mmu-miR-375-5p	2.071831268	2.82E+00	7.35E-05	6.95E-04
mmu-miR-200a-3p	1.229594341	1.17E+01	7.58E-05	7.07E-04
mmu-miR-423-3p	-1.617404403	1.06E+01	8.82E-05	8.11E-04
mmu-miR-19b-3p	1.451219269	8.79E+00	9.83E-05	8.93E-04
mmu-miR-221-5p	-1.734141195	4.52E+00	1.13E-04	1.02E-03
mmu-miR-125b-5p	2.212064171	3.46E+00	1.19E-04	1.06E-03
mmu-miR-5121	1.814533848	4.34E+00	1.30E-04	1.13E-03
mmu-miR-1947-5p	-1.890415797	4.41E+00	1.46E-04	1.26E-03
mmu-miR-99b-5p	1.586651413	9.31E+00	1.50E-04	1.27E-03
mmu-miR-19a-3p	1.445902381	7.53E+00	1.55E-04	1.30E-03
mmu-miR-219a-5p	2.655136267	1.84E+00	1.79E-04	1.49E-03
mmu-miR-29a-3p	1.300644948	1.06E+01	1.82E-04	1.49E-03
mmu-miR-700-5p	1.576142027	4.33E+00	1.92E-04	1.56E-03
mmu-miR-3057-5p	-1.867313567	3.12E+00	2.06E-04	1.66E-03
mmu-miR-130b-5p	-1.503610475	6.79E+00	2.30E-04	1.82E-03
mmu-miR-872-5p	1.315212075	6.81E+00	2.51E-04	1.96E-03
mmu-miR-194-5p	-1.299037968	1.42E+01	2.60E-04	2.01E-03
mmu-let-7e-5p	1.30342642	7.95E+00	3.32E-04	2.54E-03
mmu-miR-298-5p	-1.512470721	4.39E+00	3.81E-04	2.89E-03
mmu-miR-1839-3p	1.447340434	3.57E+00	3.96E-04	2.97E-03
mmu-miR-6538	2.037001165	3.27E+00	4.07E-04	3.02E-03
mmu-miR-27a-3p	1.351830967	8.47E+00	4.19E-04	3.08E-03
mmu-miR-148a-3p	1.123419271	1.49E+01	4.31E-04	3.13E-03
mmu-miR-486a-5p=mmu-miR-486b-5p	-1.30814002	7.13E+00	4.36E-04	3.13E-03
mmu-miR-33-5p	1.946187934	2.30E+00	4.68E-04	3.33E-03
mmu-miR-23a-3p	1.37181178	7.89E+00	4.73E-04	3.33E-03
mmu-miR-24-3p	1.27513351	8.13E+00	5.14E-04	3.58E-03
mmu-miR-421-3p	-1.249387317	7.87E+00	5.53E-04	3.82E-03
mmu-miR-24-2-5p	1.505799696	4.60E+00	5.67E-04	3.88E-03
mmu-miR-126a-5p	-1.345173387	5.59E+00	6.20E-04	4.19E-03
mmu-miR-497a-5p	1.336754006	4.09E+00	6.56E-04	4.39E-03
mmu-miR-99a-5p	1.706407284	5.25E+00	7.02E-04	4.66E-03
mmu-miR-872-3p	1.287544642	6.04E+00	7.89E-04	5.18E-03
mmu-miR-145a-5p	3.454551571	5.35E-01	8.42E-04	5.48E-03
mmu-miR-7043-3p	2.476709872	1.19E+00	9.41E-04	6.02E-03
mmu-miR-140-5p	1.236088218	4.24E+00	9.42E-04	6.02E-03
mmu-miR-15a-5p	1.016880746	8.14E+00	1.10E-03	6.95E-03
mmu-miR-181a-1-3p	1.2716657	6.12E+00	1.15E-03	7.24E-03
mmu-miR-677-5p	-1.50655097	3.61E+00	1.31E-03	8.11E-03
mmu-miR-3103-3p	-3.212584026	7.95E-01	1.35E-03	8.32E-03
mmu-miR-181c-5p	1.221329491	1.06E+01	1.38E-03	8.40E-03
mmu-miR-30c-1-3p	-1.16651292	5.32E+00	1.47E-03	8.88E-03
mmu-miR-92a-1-5p	-1.15733051	8.91E+00	1.73E-03	1.04E-02
mmu-miR-151-3p	-1.085351078	1.25E+01	1.79E-03	1.07E-02
mmu-miR-29a-5p	1.966245779	1.94E+00	1.81E-03	1.07E-02
mmu-miR-129-5p	5.504811606	6.20E-02	1.94E-03	1.13E-02
mmu-let-7e-3p	2.851491314	1.23E+00	1.96E-03	1.13E-02
mmu-miR-330-5p	-1.386420596	4.91E+00	2.08E-03	1.20E-02
mmu-miR-99b-3p	1.293876267	3.84E+00	2.21E-03	1.26E-02
mmu-miR-1948-3p	-2.139154294	1.66E+00	2.24E-03	1.26E-02
mmu-miR-18a-3p	-1.18769898	4.91E+00	2.30E-03	1.29E-02
mmu-miR-152-5p	1.3159959	3.21E+00	2.70E-03	1.50E-02
mmu-miR-125a-3p	1.51007537	3.18E+00	2.74E-03	1.51E-02
mmu-miR-21a-3p	1.040626692	7.33E+00	2.76E-03	1.51E-02
mmu-miR-103-3p	-0.964743408	1.10E+01	3.10E-03	1.68E-02
mmu-miR-3105-3p	-1.47862723	3.36E+00	3.91E-03	2.11E-02
mmu-miR-107-3p	-0.983197941	8.90E+00	3.95E-03	2.11E-02
mmu-miR-702-3p	-1.854230393	1.88E+00	4.88E-03	2.59E-02
mmu-miR-20b-5p	2.357710686	1.30E+00	5.10E-03	2.69E-02
mmu-miR-1964-3p	-1.528107887	3.39E+00	5.37E-03	2.81E-02
mmu-miR-31-5p	-0.939399602	1.14E+01	6.63E-03	3.44E-02
mmu-miR-326-3p	-1.069547474	5.32E+00	6.85E-03	3.53E-02
mmu-let-7a-1-3p=mmu-let-7c-2-3p	1.143792898	4.39E+00	7.30E-03	3.73E-02
mmu-miR-378b	-1.739907822	2.51E+00	7.56E-03	3.84E-02
mmu-miR-132-3p	1.06063882	4.07E+00	8.55E-03	4.31E-02
mmu-miR-25-5p	-1.162435641	5.36E+00	8.70E-03	4.35E-02
mmu-miR-31-3p	1.058128933	5.04E+00	8.79E-03	4.36E-02
mmu-miR-222-5p	-1.432833314	2.76E+00	9.02E-03	4.44E-02
mmu-miR-205-3p	-3.490521482	1.13E+00	9.22E-03	4.51E-02
mmu-miR-378a-5p	-0.975050425	6.55E+00	1.01E-02	4.92E-02
mmu-let-7f-2-3p	1.221997697	3.37E+00	1.05E-02	5.05E-02
mmu-miR-7226-3p	-1.540923087	2.05E+00	1.14E-02	5.45E-02
mmu-miR-125a-5p	0.837853098	9.53E+00	1.15E-02	5.46E-02
mmu-miR-23b-3p	0.773419506	1.05E+01	1.16E-02	5.47E-02
mmu-miR-196a-5p	2.332335779	1.99E+00	1.31E-02	6.14E-02
mmu-miR-28a-3p	-0.837853959	8.31E+00	1.34E-02	6.27E-02
mmu-miR-1843a-5p	0.88083636	5.06E+00	1.46E-02	6.78E-02
mmu-miR-1843b-5p	0.880840673	5.06E+00	1.48E-02	6.79E-02
mmu-miR-301a-3p	0.785160528	8.87E+00	1.49E-02	6.82E-02
mmu-miR-147-5p	-5.148204605	4.12E-02	1.55E-02	7.04E-02
mmu-miR-7068-3p	-1.396550646	2.51E+00	1.63E-02	7.35E-02
mmu-miR-500-3p	1.176374112	3.93E+00	1.73E-02	7.74E-02
mmu-miR-674-3p	-0.899558845	5.10E+00	1.74E-02	7.75E-02
mmu-miR-126a-3p	-1.04241895	3.80E+00	1.78E-02	7.87E-02
mmu-miR-449a-5p	-1.523363081	2.77E+00	1.84E-02	8.08E-02
mmu-miR-674-5p	-1.024404139	3.28E+00	2.04E-02	8.90E-02
