ident	gene	coefD	pvalD	padjD	coefC	pvalC	padjC	mastfc	alpha	ref_alpha	mu	ref_mu	mean	ref_mean	log2fc
Immature Goblet	SMAD5	1.461255288	2.35476E-08	1.51634E-06	-0.122807322	0.426872335	1	0.069029823	0.169354839	0.02525725	0.906467261	1.814943855	-1.655347168	-3.491944596	1.836597428
Immature Goblet	GBP3	1.460886311	4.38844E-06	0.000133698	0.043711459	0.83500945	1	0.164932439	0.100806452	0.015902713	0.358214081	1.171494506	-2.951954623	-4.802412148	1.850457525
Immature Goblet	RIMS3	1.452287014	8.25556E-05	0.001418713	0.189063029	0.405805543	1	0.023366378	0.080645161	0.011225444	1.431566835	1.115645906	-2.20059727	-5.360436696	3.159839426
Immature Goblet	B3GNT6	1.451652556	6.71487E-12	9.81502E-10	0.081170425	0.469218544	1	0.017453006	0.258064516	0.0505145	1.439026041	1.612251334	-0.515144148	-2.694755854	2.179611706
Immature Goblet	FNIP2	1.451097712	1.04615E-06	4.0992E-05	-0.01260168	0.935795959	1	0.065689351	0.137096774	0.016838167	1.202251173	1.234003069	-1.664414912	-4.657506682	2.99309177
Immature Goblet	STIM2	1.449357508	2.89068E-07	1.35269E-05	0.160860791	0.376605874	1	0.108343494	0.129032258	0.022450889	1.965621935	1.566564834	-0.988531802	-3.910156713	2.921624911
Immature Goblet	CCNG2	1.440234612	6.96006E-06	0.000192237	0.060840938	0.779951933	1	0.123422543	0.096774194	0.015902713	1.889404556	1.425014706	-1.479767194	-4.54900097	3.069233776
Immature Goblet	EDEM3	1.427533972	9.14535E-09	6.52826E-07	-0.131358379	0.34449829	1	0.023309992	0.189516129	0.029934518	1.20972631	1.498385489	-1.1898356	-3.563378112	2.373542511
Immature Goblet	SKIL	1.425997146	3.21004E-06	0.000102856	0.244548923	0.281795666	1	0.108706665	0.10483871	0.018709074	1.401492309	1.522710931	-1.852184663	-4.216957493	2.36477283
Immature Goblet	SEC22B	1.424527114	5.02918E-06	0.000148341	-0.318062247	0.154142178	1	0.071873697	0.100806452	0.01777362	0.441667959	1.851348373	-2.868510378	-3.962393012	1.093882634
Immature Goblet	TRIP12	1.420224977	5.05098E-06	0.000148341	0.084705351	0.64901161	1	0.076547757	0.112903226	0.015902713	2.25699444	1.512982247	-0.889806455	-4.461066999	3.571260544
Immature Goblet	FCHO2	1.41714117	9.49901E-05	0.001586299	0.011545396	0.956709558	1	0.035383711	0.080645161	0.011225444	0.502846705	0.9852641	-3.129223334	-5.490723857	2.361500523
